id,title,type,release_year,runtime,genres,imdb_score
tm42877,Wanted,MOVIE,2008,110,"['action', 'thriller', 'crime', 'fantasy']",6.7
tm39030,Casino Royale,MOVIE,2006,144,"['action', 'thriller', 'european']",8.0
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,22,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']",7.6
ts17942,Chappelle's Show,SHOW,2003,21,"['comedy', 'music']",8.8
tm89677,The Terminal,MOVIE,2004,128,"['drama', 'comedy', 'romance']",7.4
tm78592,Michael Clayton,MOVIE,2007,114,"['thriller', 'drama', 'crime']",7.2
tm105329,Road to Perdition,MOVIE,2002,117,"['thriller', 'documentation', 'drama', 'crime']",7.7
ts30311,Victorious,SHOW,2010,25,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",6.9
tm139658,Big Fish,MOVIE,2003,125,"['action', 'fantasy', 'drama', 'romance']",8.0
tm26327,The Hurt Locker,MOVIE,2008,131,"['thriller', 'drama', 'war']",7.5
tm95477,Troy,MOVIE,2004,163,"['action', 'history', 'war', 'drama', 'european']",7.3
tm154187,Sherlock Holmes,MOVIE,2009,129,"['crime', 'thriller', 'action']",7.6
ts22267,Trailer Park Boys,SHOW,2001,25,"['comedy', 'crime']",8.6
tm133767,Love Actually,MOVIE,2003,135,"['drama', 'comedy', 'romance']",7.6
ts2230,America's Next Top Model,SHOW,2003,44,['reality'],5.6
tm45454,Get Smart,MOVIE,2008,110,"['comedy', 'thriller', 'action']",6.5
tm26897,Quantum of Solace,MOVIE,2008,106,"['thriller', 'action']",6.6
tm133374,The Blind Side,MOVIE,2009,129,"['drama', 'sport']",7.6
tm136808,Identity,MOVIE,2003,90,['thriller'],7.3
tm70807,I Am Legend,MOVIE,2007,101,"['scifi', 'thriller', 'action', 'drama']",7.2
ts19036,The Fairly OddParents,SHOW,2001,23,"['comedy', 'scifi', 'animation', 'family', 'fantasy']",7.2
tm93055,Grown Ups,MOVIE,2010,102,"['comedy', 'drama', 'european']",5.9
tm85811,The Girl Next Door,MOVIE,2004,110,"['comedy', 'romance', 'drama']",6.7
ts22456,Ned's Declassified School Survival Guide,SHOW,2004,25,"['family', 'comedy']",7.4
tm131038,Public Enemies,MOVIE,2009,140,"['action', 'crime', 'drama', 'history', 'european']",7.0
tm58382,Not Another Teen Movie,MOVIE,2001,89,['comedy'],5.7
tm35463,Blow,MOVIE,2001,124,"['crime', 'drama']",7.5
tm30603,Hancock,MOVIE,2008,92,"['fantasy', 'action', 'crime', 'drama']",6.4
ts22018,iCarly,SHOW,2007,26,"['comedy', 'family', 'romance']",6.7
tm20959,The Pursuit of Happyness,MOVIE,2006,117,"['drama', 'european']",8.0
tm136308,Monster,MOVIE,2003,110,"['crime', 'drama', 'thriller', 'european']",7.3
tm29737,Rambo,MOVIE,2008,92,"['action', 'thriller', 'war', 'european']",7.0
tm148270,Something's Gotta Give,MOVIE,2003,128,"['drama', 'comedy', 'romance']",6.7
tm89036,Harold & Kumar Go to White Castle,MOVIE,2004,83,['comedy'],7.0
tm46436,Thir13en Ghosts,MOVIE,2001,91,"['horror', 'thriller', 'fantasy']",5.6
ts21197,Merlin,SHOW,2008,44,"['action', 'drama', 'scifi', 'fantasy', 'european']",7.9
ts21544,Transformers: Prime,SHOW,2010,22,"['action', 'animation', 'comedy', 'drama', 'family', 'scifi']",7.9
tm150260,Cloudy with a Chance of Meatballs,MOVIE,2009,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'romance', 'drama']",6.9
ts31263,The Mole,SHOW,2001,47,['reality'],7.6
ts30313,Offspring,SHOW,2010,44,"['drama', 'comedy']",8.3
tm79895,Halloween,MOVIE,2007,109,['horror'],6.0
ts12787,Code Geass: Lelouch of the Rebellion,SHOW,2006,24,"['scifi', 'action', 'animation', 'drama', 'war', 'thriller']",8.7
tm116324,Jackass: The Movie,MOVIE,2002,88,"['comedy', 'documentation', 'action']",6.6
tm39828,Semi-Pro,MOVIE,2008,94,"['comedy', 'sport', 'european']",5.8
tm23935,The Lake House,MOVIE,2006,99,"['drama', 'thriller', 'fantasy', 'romance', 'documentation']",6.8
tm78067,The Girl Next Door,MOVIE,2007,91,"['crime', 'drama', 'horror', 'thriller']",6.5
tm95252,The Book of Eli,MOVIE,2010,118,"['scifi', 'action', 'thriller', 'drama', 'european']",6.8
tm32919,Blood Diamond,MOVIE,2006,143,"['drama', 'thriller', 'action']",8.0
tm169949,Just Like Heaven,MOVIE,2005,95,"['romance', 'drama', 'comedy', 'fantasy']",6.7
tm30205,Ip Man,MOVIE,2008,106,"['drama', 'fantasy', 'comedy', 'history', 'action']",8.0
tm40009,21,MOVIE,2008,123,"['crime', 'drama', 'history', 'thriller']",6.8
tm141390,Friday the 13th,MOVIE,2009,97,"['horror', 'thriller']",5.5
ts35155,Gurren Lagann,SHOW,2007,24,"['action', 'scifi', 'animation', 'comedy', 'drama']",8.3
tm94606,Let Me In,MOVIE,2010,116,"['drama', 'horror', 'thriller', 'fantasy', 'european']",7.1
ts15986,Dead Set,SHOW,2008,141,"['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']",7.6
tm102337,A Nightmare on Elm Street,MOVIE,2010,95,"['horror', 'thriller', 'crime', 'drama']",5.2
ts22318,Winx Club,SHOW,2004,23,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']",6.2
tm159901,Miss Congeniality 2: Armed and Fabulous,MOVIE,2005,115,"['action', 'comedy', 'crime']",5.1
